model_name,average_bert,average_glue,cola,mnli,mrpc,qnli,qqp,rte,sst2,stsb,wnli,MLM Eval Loss
small_bert_100k_get_info,71.87,69.68,36.21,75.09/39.99,84.97/78.68,84.83,87.91/83.54,58.12,87.61,83.26/82.94,52.11,2.673
small_bert_large_dataset_hp_chase,72.7,70.88,31.58,73.49/73.63,85.48/78.43,82.48,87.44/83.36,61.01,85.32,80.46/80.13,56.34,2.673
trifecta_small,62.57,61.41,4.64,62.92/36.96,81.37/73.28,80.47,80.51/74.17,57.4,77.52,76.03/75.89,52.11,3.219
trifecta_small_hp_chase,69.89,68.39,23.87,68.12/68.76,84.73/77.21,82.01,84.04/78.58,59.93,83.03,79.80/79.40,56.34,3.219
trifecta_small_85_get_info,61.47,61.21,0.0,62.47/35.27,81.77/72.79,81.15,80.88/74.61,54.87,76.15,75.81/75.57,59.15,3.304
trifecta_small_85_hp_chase,69.76,68.27,20.4,70.70/71.93,84.14/75.25,83.23,85.64/80.73,58.12,84.29,78.05/77.70,56.34,3.304
trifecta_small_90_get_info,61.4,61.3,0.0,59.77/36.37,81.23/71.57,79.63,78.32/71.71,61.37,76.38,74.42/74.19,60.56,3.344
trifecta_small_90_hp_chase,69.62,68.14,22.9,68.36/69.79,83.13/73.04,81.9,84.26/78.72,60.65,84.52,78.47/78.21,56.34,3.344
trifecta_small_2x_get_info,55.31,54.96,4.64,61.03/37.33,81.74/72.30,79.3,77.93/73.50,54.87,76.38,26.21/24.59,52.11,3.365
trifecta_small_2x_hp_chase,67.93,67.93,18.05,70.69/71.96,83.00/73.28,83.21,83.76/78.93,58.48,84.98,,,3.365
trifecta_small_4x_get_info,59.82,58.81,10.73,62.08/36.62,82.02/72.06,79.81,79.51/72.13,53.07,72.48,60.48/60.12,50.7,3.465
trifecta_small_4x_hp_chase,60.58,58.86,9.28,67.76/69.23,83.00/73.28,83.18,83.49/78.49,59.93,81.88,23.78/21.77,45.07,3.465
